listings_x,price_sum_x,price_mean_x,price_median,price_std_x,lq_x,uq_x,listings_y,price_sum_y,price_mean_y,price_std_y,lq_y,uq_y,change_listings,change_price_sum,change_price_mean,change_price_std,change_lq,change_uq,LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,latitude,longitude,geometry,medianincome,house_price_year_ending_dec_2016,house_price_year_ending_mar_2021,house_price_change_16to21,deprivation,gent
14,2086,149,137.5,58.59640315,111,180,23,4117,179,72.46566585,120,224,-9,-2031,-30,65.03,-61.4,-113,E01000001,City of London 001A,E02000001,City of London 001,E09000001,City of London,E12000007,London,1465,1465,0,112.9,876,1.7,532150.8794,181615.0385,POINT (532150.8794 181615.0385),66790,985000,820000,-165000,9,0.43
13,1978,152.1538462,144,52.28582688,112,189,15,2804,186.9333333,123.7915683,107,218,-2,-826,-34.78,20.21,-54.71,-106,E01000002,City of London 001B,E02000001,City of London 001,E09000001,City of London,E12000007,London,1436,1436,0,62.9,830,1.7,532443.3541,181645.8619,POINT (532443.3541 181645.8619),67750,845000,817000,-28000,10,0.41
15,1508,100.5333333,117,45.44677683,67,120.5,12,1279,106.5833333,40.03965837,84.25,127,3,229,-6.05,76.96,-38.8,-60,E01000003,City of London 001C,E02000001,City of London 001,E09000001,City of London,E12000007,London,1346,1250,96,227.7,817,1.5,532207.0623,182030.0868,POINT (532207.0623 182030.0868),55390,717500,614750,-102750,5,0.44
6,321,53.5,43,38.93969697,36,49.25,1,38,38,0,38,38,5,283,15.5,43,0.94,-2,E01000006,Barking and Dagenham 016A,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,1703,1699,4,116.2,543,3.1,544934.3677,184297.5509,POINT (544934.3676999999 184297.5509),39040,403000,412500,9500,5,0.47
10,557,55.7,46.5,27.26434383,32.5,68.75,6,269,44.83333333,22.28377586,33.25,43,4,288,10.87,24.22,-5.99,-10.5,E01000007,Barking and Dagenham 015A,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,E12000007,London,1391,1391,0,69.6,612,2.3,544139.8583,184436.8669,POINT (544139.8583 184436.8669),33760,206000,325000,119000,3,0.58
7,345,49.28571429,44,29.30138953,26.5,66,2,110,55,7.071067812,52.5,57.5,5,235,-5.71,36.93,-23.2,-31,E01000009,Barking and Dagenham 016B,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,1773,1773,0,138.6,638,2.8,544601.1378,184458.0617,POINT (544601.1378 184458.0617),35930,250000,213000,-37000,3,0.51
20,2310,115.5,79.5,109.6911933,44.5,122.5,17,1161,68.29411765,57.12132341,37,65,3,1149,47.21,22.38,72.69,-20.5,E01000010,Barking and Dagenham 015C,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,E12000007,London,2840,2840,0,80.7,1103,2.6,544231.154,184050.0772,POINT (544231.154 184050.0772),36170,220000,378000,158000,3,0.6
2,63,31.5,31.5,12.02081528,27.25,35.75,2,76,38,8.485281374,35,41,0,-13,-6.5,23.01,-22.98,-13.75,E01000012,Barking and Dagenham 015D,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,E12000007,London,1901,1895,6,136.8,698,2.7,543917.46,184714.3732,POINT (543917.46 184714.3732),34500,238000,255000,17000,2,0.6
2,99,49.5,49.5,41.71930009,34.75,64.25,0,0,0,0,0,0,2,99,49.5,49.5,41.72,34.75,E01000013,Barking and Dagenham 013A,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,1660,1660,0,79.9,650,2.6,548969.1762,184881.9021,POINT (548969.1762 184881.9021),33990,290000,297000,7000,2,0.5
2,267,133.5,133.5,157.6848122,77.75,189.25,2,72,36,11.3137085,32,40,0,195,97.5,122.19,125.68,37.75,E01000014,Barking and Dagenham 013B,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,1656,1622,34,48.5,638,2.5,548481.3372,184907.9062,POINT (548481.3372 184907.9062),33560,300000,327500,27500,2,0.43
9,642,71.33333333,75,46.33573135,24,111,2,95,47.5,6.363961031,45.25,49.75,7,547,23.83,68.64,1.09,-25.75,E01000015,Barking and Dagenham 009A,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,2241,2241,0,79.9,836,2.7,549590.2082,185038.7444,POINT (549590.2082 185038.7444),33260,233000,302500,69500,2,0.51
2,156,78,78,59.39696962,57,99,0,0,0,0,0,0,2,156,78,78,59.4,57,E01000016,Barking and Dagenham 009B,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,1637,1637,0,82.3,626,2.6,549306.3714,185579.7361,POINT (549306.3713999999 185579.7361),34520,290000,309000,19000,3,0.44
3,130,43.33333333,35,23.62907813,30,52.5,1,50,50,0,50,50,2,80,-6.67,35,-26.37,-20,E01000017,Barking and Dagenham 009C,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,1594,1594,0,100.6,609,2.6,548904.5773,185566.517,POINT (548904.5773 185566.517),33910,305000,310000,5000,2,0.42
2,88,44,44,8.485281374,41,47,0,0,0,0,0,0,2,88,44,44,8.49,41,E01000018,Barking and Dagenham 009D,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,1597,1597,0,91.9,612,2.6,549322.0015,185265.1563,POINT (549322.0015 185265.1563),34560,290000,312500,22500,2,0.49
2,235,117.5,117.5,116.6726189,76.25,158.75,0,0,0,0,0,0,2,235,117.5,117.5,116.67,76.25,E01000019,Barking and Dagenham 023A,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,E12000007,London,1407,1407,0,76.5,504,2.8,547097.6483,186501.3174,POINT (547097.6483 186501.3174),34750,305000,337000,32000,2,0.43
4,158,39.5,37.5,25.51470164,22,55,1,57,57,0,57,57,3,101,-17.5,37.5,-31.49,-35,E01000020,Barking and Dagenham 023B,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,E12000007,London,1834,1773,61,98,650,2.7,547393.6375,186291.8576,POINT (547393.6375 186291.8576),34910,311750,300000,-11750,2,0.46
2,86,43,43,9.899494937,39.5,46.5,0,0,0,0,0,0,2,86,43,43,9.9,39.5,E01000021,Barking and Dagenham 008A,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,1579,1579,0,93.3,593,2.7,546797.8497,186073.4698,POINT (546797.8497 186073.4698),32540,294000,330000,36000,2,0.48
2,288,144,144,33.9411255,132,156,0,0,0,0,0,0,2,288,144,144,33.94,132,E01000022,Barking and Dagenham 008B,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,1314,1314,0,102.4,474,2.8,547148.8524,186036.4905,POINT (547148.8524 186036.4905),35190,290000,347500,57500,2,0.41
9,1128,125.3333333,140,62.32776267,100,173,3,300,100,52.04805472,83.5,130,6,828,25.33,87.95,-21.17,-30,E01000023,Barking and Dagenham 008C,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,1112,1112,0,53.7,500,2.2,546468.1741,185694.8015,POINT (546468.1740999999 185694.8015),34970,262500,275000,12500,2,0.48
2,200,100,100,70.71067812,75,125,2,64,32,8.485281374,29,35,0,136,68,91.51,41.71,40,E01000027,Barking and Dagenham 001A,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,1709,1688,21,11.6,641,2.6,548472.711,190176.2781,POINT (548472.711 190176.2781),33620,300000,340000,40000,2,0.44
3,136,45.33333333,50,24.33789912,34.5,58.5,1,68,68,0,68,68,2,68,-22.67,50,-43.66,-33.5,E01000028,Barking and Dagenham 001B,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,1549,1519,30,107.7,612,2.5,547630.7417,189508.8452,POINT (547630.7417 189508.8452),32450,295000,338000,43000,2,0.47
3,268,89.33333333,28,107.0996421,27.5,120.5,1,38,38,0,38,38,2,230,51.33,28,69.1,-10.5,E01000029,Barking and Dagenham 001C,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,1602,1602,0,62.4,690,2.3,547977.5128,188984.2261,POINT (547977.5128 188984.2261),36170,347500,377500,30000,4,0.43
5,235,47,50,6.708203932,50,50,0,0,0,0,0,0,5,235,47,50,6.71,50,E01000030,Barking and Dagenham 001D,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,1915,1915,0,66.9,770,2.5,548130.9989,189333.9732,POINT (548130.9989 189333.9732),32610,290000,365000,75000,2,0.51
4,208,52,40,32.75159029,33.25,58.75,0,0,0,0,0,0,4,208,52,40,32.75,33.25,E01000031,Barking and Dagenham 002A,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,1617,1617,0,19.2,598,2.7,548652.2852,189005.2631,POINT (548652.2852 189005.2631),38780,310000,400000,90000,4,0.43
7,369,52.71428571,39,43.62611712,32.5,45,0,0,0,0,0,0,7,369,52.71,39,43.63,32.5,E01000032,Barking and Dagenham 002B,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,1629,1629,0,43.4,631,2.6,547972.4767,188354.9815,POINT (547972.4767 188354.9815),36970,233000,411000,178000,3,0.42
5,184,36.8,40,7.981227976,35,40,0,0,0,0,0,0,5,184,36.8,40,7.98,35,E01000035,Barking and Dagenham 010A,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,1610,1543,67,40.5,567,2.7,550059.2444,185634.8413,POINT (550059.2444 185634.8413),37960,317000,390000,73000,4,0.46
6,360,60,47.5,45.38722287,37.5,53.75,1,63,63,0,63,63,5,297,-3,47.5,-17.61,-25.5,E01000036,Barking and Dagenham 010B,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,1353,1353,0,32.3,469,2.9,550432.3449,185260.9533,POINT (550432.3449 185260.9533),39360,304500,350000,45500,5,0.41
3,87,29,29,3,27.5,30.5,1,100,100,0,100,100,2,-13,-71,29,-97,-72.5,E01000042,Barking and Dagenham 017B,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,1788,1786,2,77.3,679,2.6,546209.9844,184144.9905,POINT (546209.9844 184144.9905),33030,429995,260000,-169995,2,0.59
5,260,52,39,47.10626285,27,39,4,287,71.75,48.89700059,47,73.75,1,-27,-19.75,-9.9,0.11,-46.75,E01000044,Barking and Dagenham 016D,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,1798,1793,5,105.4,629,2.9,545070.7375,183973.1846,POINT (545070.7375 183973.1846),36020,320000,363000,43000,3,0.52
4,220,55,57.5,23.4520788,43.75,68.75,0,0,0,0,0,0,4,220,55,57.5,23.45,43.75,E01000045,Barking and Dagenham 017C,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,1650,1646,4,55.3,602,2.7,546484.0646,183860.9782,POINT (546484.0646 183860.9782),34910,260000,311000,51000,2,0.46
4,320,80,73.5,40.47221269,47.25,106.25,4,251,62.75,9.03234927,57,64.75,0,69,17.25,64.47,-16.53,-17.5,E01000050,Barking and Dagenham 019C,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,1661,1661,0,120.6,615,2.7,544775.2944,183795.2995,POINT (544775.2944 183795.2995),32860,303000,228741,-74259,2,0.51
4,319,79.75,47,82.15990506,28,98.75,1,32,32,0,32,32,3,287,47.75,47,50.16,-4,E01000052,Barking and Dagenham 019D,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,2014,2014,0,100.9,769,2.6,545279.2585,183558.6236,POINT (545279.2585 183558.6236),33220,295000,310000,15000,2,0.51
4,179,44.75,34.5,40.14453055,18.25,61,2,52,26,0,26,26,2,127,18.75,34.5,14.14,-7.75,E01000054,Barking and Dagenham 018A,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,1718,1718,0,100.4,638,2.7,547990.5226,184130.7113,POINT (547990.5226 184130.7113),35160,292500,335000,42500,3,0.43
