local_authority_code,local_authority_name,LSOACD,LSOANM,house_price_year_ending_dec_2016,house_price_year_ending_mar_2021
E09000004,Bexley,E01000470,Bexley 002F,210000,
E09000032,Wandsworth,E01004568,Wandsworth 013A,,
E09000010,Enfield,E01001483,Enfield 025A,219000,177500
E09000004,Bexley,E01000464,Bexley 002D,,
E09000014,Haringey,E01002082,Haringey 013A,169000,
E09000002,Barking and Dagenham,E01000105,Barking and Dagenham 014C,271000,280000
E09000002,Barking and Dagenham,E01000106,Barking and Dagenham 014D,182500,360000
E09000010,Enfield,E01001461,Enfield 027D,395000,265000
E09000010,Enfield,E01001558,Enfield 033E,303000,345000
E09000004,Bexley,E01000404,Bexley 004B,203500,210000
E09000009,Ealing,E01001330,Ealing 008D,250000,
E09000010,Enfield,E01001554,Enfield 037C,,
E09000004,Bexley,E01000403,Bexley 004A,232500,232500
E09000028,Southwark,E01003912,Southwark 019A,315000,
E09000026,Redbridge,E01003785,Redbridge 029C,215500,236500
E09000024,Merton,E01003373,Merton 018A,286750,
E09000002,Barking and Dagenham,E01033588,Barking and Dagenham 021F,205000,
E09000004,Bexley,E01000402,Bexley 005B,215000,230000
E09000002,Barking and Dagenham,E01000093,Barking and Dagenham 022B,195000,255000
E09000004,Bexley,E01000467,Bexley 001B,208500,240000
E09000011,Greenwich,E01001711,Greenwich 004C,220000,237500
E09000004,Bexley,E01000380,Bexley 010D,212000,197500
E09000023,Lewisham,E01003297,Lewisham 003A,236000,240000
E09000028,Southwark,E01004040,Southwark 013C,,
E09000008,Croydon,E01001011,Croydon 019E,271500,306250
E09000008,Croydon,E01001114,Croydon 013E,325000,275000
E09000008,Croydon,E01001145,Croydon 008C,281750,205000
E09000025,Newham,E01003595,Newham 026B,270000,388000
E09000026,Redbridge,E01003732,Redbridge 032D,202500,
E09000002,Barking and Dagenham,E01000010,Barking and Dagenham 015C,220000,378000
E09000011,Greenwich,E01001694,Greenwich 001D,205000,
E09000017,Hillingdon,E01002505,Hillingdon 026D,245000,250000
E09000025,Newham,E01003577,Newham 005C,248000,
E09000011,Greenwich,E01001634,Greenwich 009C,183504,172500
E09000004,Bexley,E01000429,Bexley 008B,157750,252000
E09000028,Southwark,E01003971,Southwark 015D,420000,
E09000011,Greenwich,E01001631,Greenwich 007B,215000,
E09000017,Hillingdon,E01002550,Hillingdon 022E,230000,240000
E09000025,Newham,E01003591,Newham 004D,245000,275000
E09000010,Enfield,E01033150,Enfield 003G,244467,265000
E09000004,Bexley,E01000335,Bexley 003B,248000,319000
E09000025,Newham,E01003491,Newham 022A,300000,
E09000002,Barking and Dagenham,E01000061,Barking and Dagenham 006C,,
E09000023,Lewisham,E01003302,Lewisham 003D,290000,302500
E09000023,Lewisham,E01003244,Lewisham 001A,265000,482250
E09000010,Enfield,E01001508,Enfield 012E,260000,
E09000011,Greenwich,E01033739,Greenwich 002E,261000,
E09000002,Barking and Dagenham,E01000007,Barking and Dagenham 015A,206000,325000
E09000025,Newham,E01003483,Newham 032A,,
E09000025,Newham,E01003517,Newham 036E,,
E09000026,Redbridge,E01003688,Redbridge 030F,275000,
E09000004,Bexley,E01000469,Bexley 001D,237500,328000
E09000002,Barking and Dagenham,E01000060,Barking and Dagenham 006B,275000,325000
E09000002,Barking and Dagenham,E01033587,Barking and Dagenham 021E,235000,240000
E09000004,Bexley,E01000333,Bexley 003A,242000,318000
E09000010,Enfield,E01033146,Enfield 025F,297000,192000
E09000023,Lewisham,E01003354,Lewisham 026D,217500,423500
E09000010,Enfield,E01001414,Enfield 004E,,
E09000011,Greenwich,E01033744,Greenwich 007G,299248,355000
E09000023,Lewisham,E01003190,Lewisham 034B,300000,475000
E09000004,Bexley,E01000336,Bexley 003C,220250,227500
E09000025,Newham,E01003509,Newham 031C,285000,300000
E09000010,Enfield,E01001460,Enfield 024B,210500,240000
E09000014,Haringey,E01002092,Haringey 006B,212500,221000
E09000010,Enfield,E01001431,Enfield 033A,242500,
E09000016,Havering,E01002316,Havering 004F,220000,267500
E09000016,Havering,E01002281,Havering 002C,350000,361500
E09000026,Redbridge,E01003761,Redbridge 009C,169342,
E09000018,Hounslow,E01002596,Hounslow 027A,213500,232000
E09000008,Croydon,E01001178,Croydon 015D,209500,
E09000025,Newham,E01003479,Newham 035A,240000,332000
E09000011,Greenwich,E01033740,Greenwich 002F,246000,355000
E09000010,Enfield,E01001515,Enfield 015E,274250,352000
E09000011,Greenwich,E01001688,Greenwich 002B,233500,285000
E09000025,Newham,E01003499,Newham 030A,270000,345000
