room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1782,1991,Private room,Hounslow,Cranford,3,4.5,4,1.0,48.0,1,51.473306,-0.401079,2013-12-23 00:12:38
9293,29896,Private room,Kensington and Chelsea,Chelsea Riverside,73,4.5,4,2.0,142.0,1,51.482968,-0.174777,2013-12-22 22:18:42
9554,31655,Private room,Haringey,Harringay,53,5.0,2,,63.0,2,51.587767,-0.105666,2013-12-21 20:55:16
9607,31968,Private room,Lambeth,Clapham Town,1,4.5,1,,64.0,1,51.466078,-0.133797,2013-12-22 20:37:26
11067,40327,Entire home/apt,Hackney,Haggerston,0,,7,2.0,295.0,4,51.536689,-0.076153,2013-12-22 23:50:47
11076,40471,Private room,Ealing,Ealing Broadway,0,,2,,126.0,2,51.515645,-0.314508,2013-12-21 23:29:50
11496,42722,Private room,Brent,Welsh Harp,0,,2,,55.0,1,51.574677,-0.268641,2013-12-23 15:11:46
11551,43039,Entire home/apt,Lambeth,Ferndale,107,4.5,4,1.0,143.0,2,51.462254,-0.117324,2013-12-23 02:56:50
12167,44163,Entire home/apt,Hammersmith and Fulham,Askew,10,4.0,2,,135.0,2,51.505529,-0.245572,2013-12-21 21:09:37
12358,48045,Entire home/apt,Westminster,St. James's,109,4.5,4,1.0,170.0,2,51.510636,-0.129682,2013-12-22 22:16:27
13913,54730,Private room,Islington,Tollington,7,4.5,2,1.0,88.0,1,51.568017,-0.111208,2013-12-23 00:01:19
14344,53348,Private room,Camden,Gospel Oak,95,4.0,2,3.0,45.0,1,51.550621,-0.153887,2013-12-22 23:22:23
14613,57474,Private room,Westminster,Hyde Park,0,,2,1.0,89.0,1,51.513213,-0.176339,2013-12-22 23:02:59
15400,60302,Entire home/apt,Kensington and Chelsea,Stanley,33,5.0,2,1.0,171.0,3,51.48792,-0.168103,2013-12-21 19:49:58
16105,62822,Entire home/apt,Hackney,Hoxton East & Shoreditch,13,4.5,2,,198.0,2,51.524921,-0.078051,2013-12-22 01:22:22
16581,40327,Entire home/apt,Westminster,West End,0,,3,1.0,440.0,3,51.50759,-0.144539,2013-12-21 22:12:00
17402,67564,Entire home/apt,Camden,Bloomsbury,15,4.5,6,3.0,367.0,3,51.521874,-0.138341,2013-12-23 04:04:52
17506,67915,Private room,Hammersmith and Fulham,Town,0,,2,1.0,215.0,4,51.478644,-0.197861,2013-12-22 23:44:50
18317,37014,Entire home/apt,Richmond upon Thames,Kew,6,4.5,5,2.0,268.0,3,51.471474,-0.289301,2013-12-23 00:38:46
18488,40327,Entire home/apt,Westminster,Knightsbridge and Belgravia,0,,3,,251.0,4,51.510196,-0.185513,2013-12-22 21:04:00
18492,40327,Entire home/apt,Westminster,Lancaster Gate,0,,3,,306.0,4,51.512286,-0.18581,2013-12-21 20:15:39
18493,40327,Entire home/apt,Westminster,Lancaster Gate,0,,2,,178.0,4,51.513673,-0.185877,2013-12-21 19:43:03
18495,40327,Entire home/apt,Westminster,Lancaster Gate,0,,3,,252.0,4,51.51269,-0.187692,2013-12-23 00:02:35
18558,40327,Entire home/apt,Westminster,West End,0,,3,1.0,440.0,3,51.508341,-0.145058,2013-12-21 21:01:20
18560,40327,Entire home/apt,Westminster,West End,1,,4,,440.0,3,51.507931,-0.146,2013-12-21 21:33:27
18646,40327,Entire home/apt,Hackney,Hoxton East & Shoreditch,1,5.0,6,3.0,521.0,3,51.535615,-0.079017,2013-12-21 23:43:30
18647,40327,Entire home/apt,Hackney,Hoxton East & Shoreditch,1,5.0,8,3.0,546.0,3,51.528852,-0.080505,2013-12-23 14:27:09
18649,40327,Entire home/apt,Hackney,Hoxton East & Shoreditch,4,4.5,3,,234.0,3,51.529854,-0.081532,2013-12-22 00:50:36
18650,40327,Entire home/apt,Hackney,Hoxton East & Shoreditch,1,,3,1.0,288.0,3,51.528572,-0.081756,2013-12-22 00:00:51
19399,40327,Entire home/apt,Westminster,West End,0,,2,,295.0,3,51.516175,-0.130868,2013-12-23 01:39:56
19718,74615,Private room,Lambeth,Bishop's,145,5.0,2,1.0,125.0,1,51.499412,-0.116742,2013-12-22 21:46:32
19825,40327,Entire home/apt,Westminster,West End,0,,2,1.0,317.0,3,51.507221,-0.143948,2013-12-22 23:33:43
20750,40327,Entire home/apt,Hackney,Hoxton East & Shoreditch,0,,5,2.0,516.0,3,51.526923,-0.081162,2013-12-21 20:39:34
21759,1245194,Entire home/apt,Hackney,Hoxton East & Shoreditch,10,5.0,6,2.0,304.0,2,51.526593,-0.080295,2013-12-23 13:57:01
23368,40327,Entire home/apt,Westminster,West End,1,4.5,6,2.0,593.0,3,51.513509,-0.131405,2013-12-21 19:10:42
23383,40327,Entire home/apt,Tower Hamlets,St. Peter's,1,5.0,3,1.0,306.0,2,51.531032,-0.063498,2013-12-21 22:00:37
23616,93107,Private room,Merton,Raynes Park,45,5.0,4,1.0,125.0,2,51.413373,-0.235151,2013-12-23 13:53:52
23859,40327,Entire home/apt,Hackney,Hoxton East & Shoreditch,1,5.0,3,1.0,234.0,3,51.52923,-0.080532,2013-12-21 23:46:22
24108,30780,Private room,Southwark,Brunswick Park,16,4.5,1,1.0,75.0,3,51.470633,-0.082379,2013-12-23 00:36:14
24328,41759,Entire home/apt,Wandsworth,Latchmere,24,5.0,6,2.0,268.0,1,51.472233,-0.164856,2013-12-23 15:30:44
24385,40327,Entire home/apt,Westminster,St. James's,0,,5,1.0,315.0,7,51.509003,-0.122332,2013-12-21 21:25:25
24389,40327,Entire home/apt,Westminster,St. James's,2,5.0,6,2.0,358.0,7,51.509665,-0.123844,2013-12-22 23:22:03
24903,54987,Entire home/apt,Tower Hamlets,Limehouse,2,4.0,5,2.0,267.0,3,51.51154,-0.037023,2013-12-23 16:16:38
25118,40327,Entire home/apt,Southwark,Grange,0,,5,2.0,611.0,3,51.501047,-0.080943,2013-12-21 22:20:30
25119,40327,Private room,Southwark,Grange,1,5.0,6,2.0,467.0,3,51.502996,-0.086634,2013-12-22 00:13:01
25121,40327,Entire home/apt,Southwark,Grange,0,,8,3.0,501.0,3,51.498978,-0.079701,2013-12-22 23:12:25
25123,103583,Private room,Barnet,Childs Hill,59,5.0,2,4.0,63.0,14,51.572243,-0.20906,2013-12-23 03:58:53
25873,40327,Entire home/apt,Westminster,St. James's,0,,3,1.0,331.0,7,51.509825,-0.121955,2013-12-23 04:05:02
25978,40327,Entire home/apt,Hackney,Hoxton East & Shoreditch,2,4.5,3,1.0,233.0,3,51.530781,-0.082135,2013-12-23 01:26:20
26223,110865,Entire home/apt,Islington,St. Mary's,21,4.5,5,1.0,174.0,2,51.542362,-0.103796,2013-12-22 02:04:53
26482,110865,Entire home/apt,Islington,St. Mary's,17,4.5,4,1.0,174.0,2,51.53915,-0.10137,2013-12-22 22:44:38
26713,113767,Private room,Westminster,Hyde Park,97,4.5,4,1.0,125.0,1,51.519313,-0.184246,2013-12-22 22:59:13
26810,113767,Private room,Westminster,Westbourne,52,4.5,2,1.0,99.0,1,51.523,-0.189,2013-12-21 19:52:18
27173,116483,Private room,Wandsworth,Earlsfield,2,5.0,1,2.0,63.0,2,51.448076,-0.186985,2013-12-21 22:42:04
27582,40327,Entire home/apt,Hackney,Haggerston,0,,2,1.0,216.0,3,51.532211,-0.066831,2013-12-22 00:38:58
28010,119316,Private room,Tower Hamlets,Weavers,4,5.0,2,2.0,124.0,1,51.524175,-0.073689,2013-12-21 22:33:32
28311,54987,Entire home/apt,Tower Hamlets,Canary Wharf,5,4.0,5,2.0,267.0,3,51.500419,-0.01917,2013-12-23 13:23:47
28457,54987,Entire home/apt,Tower Hamlets,Canary Wharf,2,4.5,5,2.0,267.0,3,51.499312,-0.027412,2013-12-23 16:06:18
28630,123319,Private room,Hackney,Haggerston,0,,6,3.0,143.0,28,51.536581,-0.068512,2013-12-23 15:42:06
28766,123872,Private room,Croydon,Kenley,0,,1,1.0,81.0,3,51.327071,-0.100774,2013-12-21 20:41:09
28772,123889,Entire home/apt,Lambeth,Herne Hill,66,4.5,2,1.0,143.0,2,51.470821,-0.093521,2013-12-22 22:43:56
28933,124421,Private room,Merton,Village,0,,2,1.0,143.0,1,51.41916,-0.247347,2013-12-23 13:42:25
28989,124734,Entire home/apt,Camden,Cantelowes,0,,2,2.0,115.0,180,51.546387,-0.128497,2013-12-23 03:27:49
29256,125781,Entire home/apt,Barnet,Coppetts,1,5.0,8,4.0,349.0,7,51.615092,-0.158291,2013-12-23 15:40:39
29453,126604,Private room,Merton,Wimbledon Park,111,5.0,2,1.0,88.0,2,51.427849,-0.202532,2013-12-21 23:07:06
29837,128581,Entire home/apt,Camden,Highgate,57,5.0,4,1.0,233.0,5,51.558691,-0.155184,2013-12-22 23:52:00
29875,128720,Private room,Southwark,Grange,0,,2,1.0,180.0,2,51.500486,-0.080921,2013-12-21 22:11:00
30669,132044,Private room,Lambeth,Brixton Hill,52,4.5,2,1.0,88.0,2,51.456278,-0.122242,2013-12-23 03:26:38
30671,132046,Private room,Barnet,Golders Green,7,5.0,2,1.0,63.0,1,51.567205,-0.218111,2013-12-23 04:42:00
31149,133833,Private room,Richmond upon Thames,East Sheen,0,,2,2.0,89.0,1,51.465914,-0.271808,2013-12-22 21:23:06
31361,134606,Private room,Newham,Plaistow North,28,5.0,2,3.0,63.0,1,51.534471,0.027077,2013-12-22 21:44:40
32177,138843,Entire home/apt,Kensington and Chelsea,Brompton & Hans Town,30,4.0,2,1.0,138.0,5,51.491308,-0.166376,2013-12-22 23:25:02
34575,149266,Entire home/apt,Islington,Caledonian,3,5.0,3,1.0,161.0,7,51.540928,-0.1192,2013-12-22 23:42:58
34825,150078,Private room,Camden,King's Cross,59,4.5,4,1.0,81.0,1,51.525131,-0.117492,2013-12-23 15:57:34
35337,152128,Private room,Kingston upon Thames,St. Mark's,3,5.0,1,1.0,54.0,2,51.399453,-0.291019,2013-12-23 17:27:30
36299,155938,Entire home/apt,Richmond upon Thames,Kew,20,5.0,5,3.0,349.0,3,51.479345,-0.280662,2013-12-22 22:48:44
36551,157191,Private room,Southwark,Riverside,105,5.0,2,1.0,144.0,1,51.50261,-0.077331,2013-12-21 19:05:26
36657,157884,Private room,Haringey,Fortis Green,122,5.0,3,1.0,93.0,2,51.584371,-0.16283,2013-12-21 23:15:04
36660,157884,Private room,Haringey,Fortis Green,198,5.0,2,1.0,82.0,2,51.584612,-0.161696,2013-12-23 02:22:09
37384,161459,Private room,Southwark,The Lane,38,5.0,2,1.0,99.0,3,51.469835,-0.065171,2013-12-22 01:29:22
38025,163195,Private room,Lambeth,Herne Hill,0,,1,1.0,68.0,1,51.456648,-0.097578,2013-12-23 16:04:28
38151,163634,Private room,Croydon,Upper Norwood,0,,2,1.0,116.0,1,51.419397,-0.087219,2013-12-23 04:19:32
38407,164566,Entire home/apt,Tower Hamlets,Canary Wharf,44,5.0,3,1.0,153.0,3,51.499945,-0.026243,2013-12-22 02:15:42
38605,165579,Private room,Hammersmith and Fulham,Shepherd's Bush Green,92,4.5,2,1.0,101.0,2,51.506642,-0.233138,2013-12-21 23:09:12
38610,165579,Entire home/apt,Hammersmith and Fulham,Shepherd's Bush Green,2,4.5,11,5.0,521.0,7,51.507423,-0.232712,2013-12-21 19:43:16
39387,168920,Private room,Westminster,Harrow Road,0,,2,1.0,98.0,1,51.525835,-0.19923,2013-12-22 23:10:30
39571,169878,Entire home/apt,Hackney,Victoria,30,4.5,6,2.0,180.0,1,51.535617,-0.055191,2013-12-21 21:18:25
40137,172289,Entire home/apt,Haringey,Muswell Hill,71,4.5,2,1.0,89.0,3,51.586822,-0.128324,2013-12-23 00:27:08
40738,166236,Entire home/apt,Hackney,Haggerston,24,4.5,4,1.0,216.0,2,51.52871,-0.076116,2013-12-21 22:57:01
40925,168259,Private room,Waltham Forest,Cann Hall,20,4.5,2,1.0,72.0,2,51.556994,0.014056,2013-12-21 22:45:09
41311,103583,Private room,Barnet,Golders Green,23,5.0,2,4.0,63.0,14,51.573754,-0.208903,2013-12-23 04:16:32
41509,181028,Private room,Hounslow,Turnham Green,17,4.5,2,1.0,90.0,1,51.491567,-0.256,2013-12-21 20:42:00
41712,182322,Private room,Southwark,Cathedrals,39,4.5,2,2.0,135.0,1,51.501012,-0.098697,2013-12-21 21:59:54
41870,182993,Private room,Waltham Forest,Cathall,2,4.5,1,1.0,70.0,2,51.558424,0.003823,2013-12-22 02:01:10
41936,169878,Private room,Hackney,Victoria,31,4.5,2,1.0,86.0,1,51.535817,-0.05498,2013-12-23 01:45:02
42001,183658,Private room,Hammersmith and Fulham,Avonmore and Brook Green,95,4.5,3,1.0,107.0,2,51.494409,-0.204787,2013-12-22 21:25:18
42010,157884,Private room,Barnet,East Finchley,222,5.0,2,1.0,65.0,2,51.586113,-0.162722,2013-12-23 14:33:39
42839,187107,Private room,Lewisham,Evelyn,0,,2,1.0,120.0,3,51.489856,-0.031195,2013-12-22 01:02:00
